,municipio,data,quantidade_notificacao
0,ARACI,01/01/2001,3
1,BOQUIRA,01/01/2001,2
2,CARAVELAS,01/01/2001,1
3,ITIRUCU,01/01/2001,7
4,MEDEIROS NETO,01/01/2001,6
5,SALVADOR,01/01/2001,2
6,ARACI,02/01/2001,3
7,BOQUIRA,02/01/2001,4
8,BRUMADO,02/01/2001,2
9,CAMPO ALEGRE DE LOURDES,02/01/2001,1
10,FEIRA DE SANTANA,02/01/2001,1
11,IBITIARA,02/01/2001,2
12,LAJE,02/01/2001,1
13,MEDEIROS NETO,02/01/2001,3
14,MUCURI,02/01/2001,1
15,PORTO SEGURO,02/01/2001,1
16,PRADO,02/01/2001,1
17,RAFAEL JAMBEIRO,02/01/2001,1
18,SALVADOR,02/01/2001,3
19,BOQUIRA,03/01/2001,1
20,BRUMADO,03/01/2001,1
21,CAMPO ALEGRE DE LOURDES,03/01/2001,1
22,CANAVIEIRAS,03/01/2001,1
23,EUCLIDES DA CUNHA,03/01/2001,1
24,IBITIARA,03/01/2001,1
25,ITABUNA,03/01/2001,1
26,MEDEIROS NETO,03/01/2001,3
27,MUTUIPE,03/01/2001,1
28,RIBEIRA DO POMBAL,03/01/2001,1
29,SALVADOR,03/01/2001,3
30,SERRINHA,03/01/2001,1
31,SITIO DO QUINTO,03/01/2001,1
32,ANTAS,04/01/2001,1
33,BOQUIRA,04/01/2001,2
34,CAMPO ALEGRE DE LOURDES,04/01/2001,1
35,IBICARAI,04/01/2001,1
36,ITABERABA,04/01/2001,1
37,LIVRAMENTO DE NOSSA SENHORA,04/01/2001,1
38,MEDEIROS NETO,04/01/2001,8
39,PRADO,04/01/2001,1
40,RIBEIRA DO POMBAL,04/01/2001,1
41,RIO DO ANTONIO,04/01/2001,1
42,SALVADOR,04/01/2001,2
43,UBAIRA,04/01/2001,1
44,UNA,04/01/2001,1
45,ARACI,05/01/2001,2
46,BOQUIRA,05/01/2001,1
47,CAMPO ALEGRE DE LOURDES,05/01/2001,2
48,ITABERABA,05/01/2001,5
49,MEDEIROS NETO,05/01/2001,13
50,NOVA VICOSA,05/01/2001,1
51,SALVADOR,05/01/2001,2
52,SITIO DO QUINTO,05/01/2001,9
53,TAPEROA,05/01/2001,1
54,VITORIA DA CONQUISTA,05/01/2001,1
55,BOQUIRA,06/01/2001,1
56,CAMPO ALEGRE DE LOURDES,06/01/2001,1
57,CARAVELAS,06/01/2001,1
58,LAURO DE FREITAS,06/01/2001,1
59,MEDEIROS NETO,06/01/2001,11
60,PLANALTINO,06/01/2001,1
61,SALVADOR,06/01/2001,2
62,SIMOES FILHO,06/01/2001,1
63,SITIO DO QUINTO,06/01/2001,3
64,CAEM,07/01/2001,1
65,COARACI,07/01/2001,1
66,CONCEICAO DA FEIRA,07/01/2001,1
67,IBOTIRAMA,07/01/2001,1
68,IPIAU,07/01/2001,1
69,ITABUNA,07/01/2001,1
70,JACOBINA,07/01/2001,2
71,MEDEIROS NETO,07/01/2001,2
72,PLANALTINO,07/01/2001,2
73,PRADO,07/01/2001,1
74,RAFAEL JAMBEIRO,07/01/2001,2
75,SALVADOR,07/01/2001,3
76,BOQUIRA,08/01/2001,7
77,BRUMADO,08/01/2001,2
78,CAMPO ALEGRE DE LOURDES,08/01/2001,1
79,CICERO DANTAS,08/01/2001,1
80,EUCLIDES DA CUNHA,08/01/2001,1
81,IBOTIRAMA,08/01/2001,6
82,IPUPIARA,08/01/2001,10
83,ITABERABA,08/01/2001,7
84,ITAJUIPE,08/01/2001,2
85,ITIRUCU,08/01/2001,1
86,MEDEIROS NETO,08/01/2001,2
87,MUNDO NOVO,08/01/2001,1
88,PEDRO ALEXANDRE,08/01/2001,6
89,PRADO,08/01/2001,1
90,RAFAEL JAMBEIRO,08/01/2001,1
91,SIMOES FILHO,08/01/2001,1
92,SITIO DO QUINTO,08/01/2001,2
93,UNA,08/01/2001,3
94,URUCUCA,08/01/2001,1
95,BAIXA GRANDE,09/01/2001,4
96,BOQUIRA,09/01/2001,2
97,CAMPO ALEGRE DE LOURDES,09/01/2001,4
98,FATIMA,09/01/2001,1
99,FEIRA DE SANTANA,09/01/2001,1
